Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x04_Pin","PinHeader_2x02_P2.54mm_Vertical",14.498800,-27.294600,0.000000,bottom
"J3","Conn_01x06_Pin","PinHeader_2x03_P2.54mm_Vertical",59.528000,-37.309400,90.000000,bottom
